content,hour,minute,day,motion,location,last_notification_time
"It is 7 PM on Monday. You are biking at the beach. You responded to (or clicked on) a notification 5 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",19,0,1,biking,beach,5
"It is 10:30 AM on Sunday. You are taking a bus to some place. You responded to (or clicked on) a notification 3 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,30,0,bus,others,180
"It is 2:45 PM on Wednesday. You are walking around your work You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,3,walking,work,35
"It is 1:30 PM on Monday. You are walking around your work You responded to (or clicked on) a notification 4 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",13,30,1,walking,work,240
"It is 4:15 PM on Saturday. You are taking a train to some place. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",16,15,6,train,others,150
"It is 9:30 AM on Friday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 2 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",9,30,5,walking,friend-house,120
"It is 6:45 PM on Tuesday. You are walking at the beach. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",18,45,2,walking,beach,25
"It is 10 AM on Saturday. You are walking at a park. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,0,6,walking,park,25
"It is 8:30 PM on Wednesday. You're sitting (or standing) at a shopping mall. You responded to (or clicked on) a notification 2 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,30,3,stationary,mall,2
"It is 5:15 PM on Tuesday. You are walking at a park. You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",17,15,2,walking,park,35
"It is 2:30 PM on Tuesday. You are not moving (you could be sleeping or sitting some place). You are at home. You responded to (or clicked on) a notification 55 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,30,2,walking,home,55
"It is 10 AM on Friday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 1 minute ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,0,5,walking,friend-house,1
"It is 2 PM on Thursday. You're sitting (or standing) at your friend's place. You responded to (or clicked on) a notification 55 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,0,4,stationary,friend-house,55
"It is 2 PM on Sunday. You are biking at the beach. You responded to (or clicked on) a notification 1 hour and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,0,0,biking,beach,90
"It is 6 PM on Monday. You are driving to some place. You responded to (or clicked on) a notification 5 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",18,0,1,driving,others,5
"It is 2:45 PM on Saturday. You are walking around your home You responded to (or clicked on) a notification 50 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,6,walking,home,50
"It is 12 PM on Saturday. You are biking at a park. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",12,0,6,biking,park,150
"It is 8 PM on Saturday. You are biking at a gym. You responded to (or clicked on) a notification 4 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,0,6,biking,gym,4
