HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.content,Input.hour,Input.minute,Input.day,Input.motion,Input.location,Input.last_notification_time,Answer.sentiment,Approve,Reject
30EMX9PEVK2Y4I7M9BF9HMCZ6JJKSC,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,30JNVC0ORA3XCVPV1OS8XDDRFX7HQK,E9115C3215C3AC,Submitted,Fri Mar 02 22:27:50 PST 2018,Fri Mar 02 22:28:05 PST 2018,Sat Mar 03 22:28:05 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 7 PM on Monday. You are biking at the beach. You responded to (or clicked on) a notification 5 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",19,0,1,biking,beach,5,Accept,,
30IRMPJWDZ2M3379UMF4RC73KH0KRO,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,3137ONMDKHOUFW4F8RFQIWCCHU6GE8,E9115C3215C3AC,Submitted,Fri Mar 02 22:28:41 PST 2018,Fri Mar 02 22:28:55 PST 2018,Sat Mar 03 22:28:55 PST 2018,,,,14,0% (0/0),0% (0/0),0% (0/0),"It is 10:30 AM on Sunday. You are taking a bus to some place. You responded to (or clicked on) a notification 3 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,30,0,bus,others,180,Accept,,
31MCUE39BK5PIFQOT5TTBMCU7M3G3D,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,31HQ4X3T3TTBB7NYKDWBK5LZE21LSK,F07E6352E63521,Submitted,Fri Mar 02 22:24:14 PST 2018,Fri Mar 02 22:24:39 PST 2018,Sat Mar 03 22:24:39 PST 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),"It is 2:45 PM on Wednesday. You are walking around your work You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",14,45,3,walking,work,35,Later,,
31N9JPQXIP1AMFE9VUVQ50M1R37NHZ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,31T4R4OBOTZWP590JX51MVZGXFAC78,B656AEA26AEA68,Submitted,Fri Mar 02 22:25:28 PST 2018,Fri Mar 02 22:25:41 PST 2018,Sat Mar 03 22:25:41 PST 2018,,,,13,0% (0/0),0% (0/0),0% (0/0),"It is 1:30 PM on Monday. You are walking around your work You responded to (or clicked on) a notification 4 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",13,30,1,walking,work,240,Later,,
324N5FAHSXUEWAOQ36KES9W65NDKVH,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,326O153BMJHR3CUO61EICB9F42QEDW,9C599A9299A9F8,Submitted,Fri Mar 02 22:28:33 PST 2018,Fri Mar 02 22:28:48 PST 2018,Sat Mar 03 22:28:48 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 4:15 PM on Saturday. You are taking a train to some place. You responded to (or clicked on) a notification 2 hours and 30 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",16,15,6,train,others,150,Accept,,
32L724R85L3ALV16HRQ391SBRVNIPJ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,339ANSOTR6LBXN2KU1QW132XG4TIKL,18D70B9270B912,Submitted,Fri Mar 02 22:24:08 PST 2018,Fri Mar 02 22:24:18 PST 2018,Sat Mar 03 22:24:18 PST 2018,,,,10,0% (0/0),0% (0/0),0% (0/0),"It is 9:30 AM on Friday. You are not moving (you could be sleeping or sitting some place). You are at your friend's place. You responded to (or clicked on) a notification 2 hours ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",9,30,5,walking,friend-house,120,Accept,,
32TZXEA1OL3DWWJPB0D9E40UJXG14J,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33LKR6A5KF3Z00W9G3JIAV87IFA1TJ,72AE87E2E87E9B,Submitted,Fri Mar 02 22:25:23 PST 2018,Fri Mar 02 22:25:40 PST 2018,Sat Mar 03 22:25:40 PST 2018,,,,17,0% (0/0),0% (0/0),0% (0/0),"It is 6:45 PM on Tuesday. You are walking at the beach. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",18,45,2,walking,beach,25,Accept,,
335VBRURDJJDD3JD4J4F2WU4UYY9E6,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33PPO7FECWY3JHWA2K49XQ77WVWID8,9EF4D6D24D6DDD,Submitted,Fri Mar 02 22:28:08 PST 2018,Fri Mar 02 22:28:14 PST 2018,Sat Mar 03 22:28:14 PST 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),"It is 10 AM on Saturday. You are walking at a park. You responded to (or clicked on) a notification 25 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",10,0,6,walking,park,25,Accept,,
33IXYHIZB512DJYEJAP0S9MQOSOE2J,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,33SA9F9TRYDQCIUFNWJ84ZY0BIWEW5,345E3E12E3E17A,Submitted,Fri Mar 02 22:26:18 PST 2018,Fri Mar 02 22:26:43 PST 2018,Sat Mar 03 22:26:43 PST 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),"It is 8:30 PM on Wednesday. You're sitting (or standing) at a shopping mall. You responded to (or clicked on) a notification 2 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",20,30,3,stationary,mall,2,Later,,
344M16OZKIYY25N75TNKKXPOZNFNEJ,3VFQQ8MLFEIXZLA06PBE4V6V7CE4BM,Answer a survey about responding to the mobile phone notifications,You will answer a survey about responding to the notifications of your mobile phone in hypothetical situations.,"survey, mobile phone usage",$0.01 ,Fri Mar 02 22:21:16 PST 2018,1,BatchId:3137574;OriginalHitTemplateId:926051491;,60,86400,Fri Mar 09 22:21:16 PST 2018,,,345LHZDEDYBAAGPD3CNB3K96ZDVU3V,72AE87E2E87E9B,Submitted,Fri Mar 02 22:25:58 PST 2018,Fri Mar 02 22:26:13 PST 2018,Sat Mar 03 22:26:13 PST 2018,,,,15,0% (0/0),0% (0/0),0% (0/0),"It is 5:15 PM on Tuesday. You are walking at a park. You responded to (or clicked on) a notification 35 minutes ago. Now you receive a notification from our app. The notification says Can you take 10 seconds to complete this questionnaire?"" What will you do?""",17,15,2,walking,park,35,Accept,,
